NAME	TITLE	SCORE	
PTTG1IP		24.353886	
CD74		20.545452	
PRMT2		20.171257	
SERPINA3		19.571232	
ELK1		19.4618	
BACE2		18.725597	
DGKG		18.268515	
ADARB1		18.130516	
CD44		17.854641	
SFT2D2		17.608171	
RPS6KA2		17.162125	
AQP1		16.99612	
ABCG1		16.979692	
SLA		16.829466	
RPS6KA5		16.58871	
IFNAR1		16.27939	
C1QB		15.988098	
SOCS3		15.938497	
DIP2A		15.913712	
BTG3		15.875179	
FCGBP		15.838831	
SLC5A3		15.706316	
SMAD4		15.645557	
EMP1		15.595429	
MORC3		15.427894	
PEG10		15.370813	
SLC11A1		15.252406	
TIAM1		15.123438	
C4B		15.067082	
IFITM2		15.021426	
C1QC		15.000843	
ITSN1		14.755465	
OPRK1		14.683878	
IFITM3		14.677568	
CBR1		14.593572	
THBS1		14.541596	
ZC3HAV1		14.480141	
SCIN		14.396817	
URB1		14.281496	
C2CD2		14.263439	
SON		14.225227	
PEA15		14.074718	
PECAM1		13.995559	
HLA-DRA		13.959627	
CNN3		13.86545	
FAT4		13.748905	
DYRK1A		13.685362	
IGFBP5		13.661655	
RNF130		13.660273	
ICAM1		13.596047	
ADAMTS2		13.524393	
ANKRD6		13.499088	
C4A		13.491474	
DEPP1		13.238265	
DNAH10OS		13.199658	
CD93		13.17827	
MS4A6A		13.154149	
ITGB2		13.149593	
ARID5B		13.140952	
CFLAR		13.07456	
AEBP1		13.057385	
MCM3AP		12.998018	
HMGN1		12.919062	
HEBP2		12.911323	
ADAMTS1		12.908829	
B2M		12.894808	
SERPINA1		12.86757	
TEF		12.860087	
SRGAP1		12.857821	
CHI3L1		12.79973	
MAPK3		12.715006	
PLCE1		12.699303	
PDYN		12.689679	
BTG1		12.675715	
TRAPPC10		12.66738	
VPS26C		12.658856	
SLC7A2		12.650175	
TTC3		12.646323	
GFAP		12.645112	
PLXDC2		12.638356	
UBE2G2		12.588136	
GRM1		12.516148	
CLIC4		12.5085335	
ADAMTS9		12.450146	
C3		12.4105625	
NHSL2		12.37417	
SPP1		12.370092	
CPNE3		12.325361	
N4BP2		12.267384	
TENT4B		12.200199	
LINC01094		12.133376	
MX1		11.978291	
NUPR1		11.969584	
TIMP2		11.957977	
ADCYAP1R1		11.945215	
ZNNT1		11.869733	
CP		11.827896	
KCNJ6		11.816389	
NEAT1		11.744831	
KCTD12		11.658925	
STAB1		11.616091	
TENM1		11.604151	
AFF1		11.573173	
BACH1		11.534176	
CD163		11.480059	
IFITM1		11.39093	
CXADR		11.387813	
PRELP		11.376852	
SNHG5		11.3602	
STOM		11.347086	
BAG3		11.304551	
COL18A1		11.303297	
MSN		11.28598	
TYMP		11.27851	
TNFRSF1B		11.247558	
HLA-E		11.227614	
ZFP36		11.203632	
CDKN1A		11.197595	
CALN1		11.19025	
BRWD1		11.165191	
BBX		11.158032	
FYB1		11.133003	
KLHL1		11.084369	
HLA-B		10.963192	
CRYAB		10.942203	
CLIC1		10.9407625	
VIM		10.935738	
RELL1		10.934605	
MT2A		10.929985	
AK4		10.881164	
IFNGR2		10.771055	
PLAAT4		10.740793	
TMEM47		10.733686	
TMEM167B		10.708689	
BCL6		10.661332	
RHOC		10.621868	
GNG12		10.550339	
GABPA		10.532589	
AQP4		10.519886	
ZFP36L1		10.506953	
USP25		10.469045	
SMAD9		10.454976	
MTSS1		10.448535	
APLNR		10.439789	
CRYZL1		10.4254875	
ARHGAP6		10.423068	
HSPB1		10.386964	
C1R		10.386668	
IFI30		10.386608	
H1-2		10.386214	
WHRN		10.351186	
YBX3		10.322542	
DDR1		10.308776	
SPARC		10.272475	
STC1		10.248793	
SPATA13		10.227479	
RSKR		10.216328	
SLC2A12		10.1856165	
RCAN1		10.175665	
RUNX1		10.170384	
PARVG		10.162664	
SHISA9		10.158373	
PTPRU		10.158243	
ERBIN		10.150612	
LONRF3		10.137016	
FGF2		10.118737	
FN1		10.108823	
HPCAL4		10.097651	
VSIG4		10.094445	
OPHN1		10.087341	
LINC02607		10.064199	
TYW5		10.060054	
LILRB3		10.053332	
PMEPA1		10.047829	
WWTR1		10.046236	
CXCL2		10.042574	
SCAF4		9.9904175	
FILIP1		9.94268	
PRLR		9.92863	
BST2		9.9186125	
GPR176		9.915543	
C1QA		9.887931	
PALLD		9.856403	
TFDP2		9.850643	
N6AMT1		9.820207	
MPZL2		9.8018055	
RRP1B		9.757233	
SMARCD3		9.753609	
PLCXD2		9.740647	
ANO6		9.736451	
CNTNAP3		9.712861	
SLCO2B1		9.701831	
GPRIN3		9.698454	
PIGP		9.684138	
PKNOX1		9.6746025	
TIMP1		9.655394	
THRA		9.644254	
PELI1		9.614432	
HRH3		9.612911	
LRIG1		9.5891075	
PLSCR1		9.565702	
MSR1		9.561168	
LINC00320		9.56039	
TRIM25		9.553344	
MOB1B		9.543524	
PCOLCE2		9.520552	
FAM107A		9.516843	
MIR99AHG		9.480111	
AHCTF1		9.463285	
TGFBI		9.447728	
ITIH2		9.442364	
PAXBP1		9.415441	
CEBPD		9.415244	
SRGN		9.415113	
MS4A4A		9.388949	
AHNAK		9.3564	
RHBDF2		9.34209	
MTMR11		9.334389	
IFI16		9.301813	
RIPOR2		9.288239	
ZNF83		9.256532	
ARHGEF28		9.215378	
NIBAN1		9.176418	
SCN9A		9.175143	
OSMR		9.173092	
PPP1R1A		9.16304	
CFAP298-TCP10L		9.140927	
KLHL31		9.138648	
TBC1D14		9.132478	
DPYSL3		9.100486	
CD68		9.097564	
DTX3L		9.089895	
DNAJB2		9.0732355	
TENM3		9.072527	
NYNRIN		9.056005	
ADAMTS9-AS2		9.049389	
ZNF704		9.045935	
LRRC3		9.043502	
AGPAT3		9.037247	
SERPING1		9.028349	
HILPDA		9.020857	
FGD4		8.969886	
DONSON		8.952622	
MRPS6		8.94603	
NLRC4		8.942878	
DIXDC1		8.936572	
KLRD1		8.929857	
TMEM233		8.92804	
TRPC4		8.908831	
LPIN1		8.883343	
SVIL		8.860423	
CCBE1		8.849993	
AGAP1		8.830128	
ZNF471		8.828152	
TXNIP		8.82521	
CSTB		8.824347	
ITPRIPL2		8.821118	
CLU		8.818898	
ASAP3		8.812187	
CDHR1		8.803635	
ITGAV		8.769687	
LIMK2		8.764702	
PIRT		8.762417	
SH3PXD2B		8.757321	
SMAD1		8.755333	
KCTD4		8.743435	
HCP5		8.726656	
PDPN		8.709308	
GALNT16		8.707752	
SMIM11		8.68882	
AMH		8.680925	
SLIT3		8.676879	
HAMP		8.6741495	
GATM		8.671855	
TNFRSF1A		8.665679	
SOS1		8.659054	
LCP1		8.658161	
JUN		8.648982	
CFAP298		8.646661	
PADI2		8.643702	
TGM2		8.622087	
OPRM1		8.594316	
RRN3		8.590163	
TPP1		8.578909	
GPNMB		8.558167	
HAP1		8.545496	
PRKAB2		8.5394	
EPCIP		8.523766	
PIK3AP1		8.510055	
APOL4		8.50985	
NFIA		8.493539	
ALCAM		8.460043	
TNXB		8.453278	
FERMT2		8.4516	
AKNA		8.439111	
WDR1		8.422444	
NAMPT		8.414946	
OGFRL1		8.409922	
CCN4		8.408505	
PLSCR4		8.401525	
USP3		8.399347	
SWAP70		8.395117	
CD99		8.389565	
TMEM245		8.387166	
BTBD9		8.377189	
NFYA		8.371529	
APOBEC3C		8.371032	
HLCS		8.367733	
UNG		8.363613	
SKP2		8.350136	
EDNRA		8.340621	
TJP2		8.337693	
TMEM50B		8.336342	
ZNF516		8.3257	
SAMD4A		8.318826	
ABHD4		8.31527	
PCBP3		8.310134	
PNMA6F		8.295122	
NFIL3		8.294999	
CD14		8.288757	
U2AF1		8.287974	
NCAM2		8.28692	
COLEC12		8.285606	
LAPTM5		8.266837	
ALDH1L2		8.252252	
MAP3K20		8.242692	
CHST6		8.241155	
H2AZ2		8.231387	
ZBTB8B		8.217982	
PALS1		8.214844	
GET1		8.210311	
BTNL9		8.199386	
CHORDC1		8.195332	
AIRE		8.194199	
SETDB2		8.180187	
ZNF680		8.177981	
F2R		8.175564	
PCYT1B		8.169789	
IDS		8.167885	
NPY1R		8.15005	
WIPF1		8.110895	
GDPD2		8.110115	
ABLIM1		8.085481	
ATL3		8.074744	
BIRC3		8.0494175	
TRAF3IP2		8.026038	
TMEM26-AS1		8.016427	
RO60		8.015425	
GPR63		8.005982	
PLEKHA4		8.005847	
MED13L		7.970449	
GHR		7.9517374	
APAF1		7.948762	
FCER1G		7.935412	
CHPT1		7.9304385	
SAMD8		7.9235163	
KCNK13		7.9220433	
RAB13		7.895582	
KRBOX4		7.8878465	
WDR6		7.886287	
GART		7.8811164	
HLA-DPA1		7.8649487	
CRELD1		7.85603	
EFNB3		7.848237	
MX2		7.837532	
DIRC3-AS1		7.8315163	
ABI3		7.8290033	
ITPRIP		7.82765	
ABLIM3		7.8226595	
CHST11		7.820155	
ACVR2B		7.8138623	
IRAK2		7.812242	
HLA-DQA1		7.8053303	
AFF2		7.8029876	
S100A11		7.8002205	
DDR2		7.7990365	
GABRQ		7.7955785	
PDXK		7.7791505	
PIK3CG		7.7716546	
DNAJB1		7.7641554	
IGFBP7		7.756885	
RNASET2		7.7405815	
CLEC5A		7.7351885	
ZZZ3		7.7251253	
FPR1		7.717642	
GNAI2		7.6941276	
TLR2		7.6879463	
ZBTB21		7.6782737	
CRYBG3		7.6673007	
ADGRE2		7.636424	
SLFN11		7.633951	
TRAF6		7.6338067	
TYROBP		7.6314087	
AMPD2		7.6072574	
TAP1		7.593827	
TLN1		7.5915866	
DIRAS3		7.579674	
ZBTB44		7.579037	
ATP2B4		7.5776305	
TNS1		7.576278	
NOS1AP		7.5412836	
GADD45B		7.538424	
KDM6A		7.527809	
SIRPB2		7.526842	
STAT3		7.516853	
DSEL		7.5018167	
GRIN3A		7.488707	
CFAP54		7.4808116	
ITGB8		7.473397	
MTHFD2		7.458559	
PPM1K		7.457987	
MS4A7		7.455528	
SERP1		7.451429	
SMG1		7.4470453	
ADIRF		7.435759	
TM4SF1		7.4328213	
TTC28		7.42447	
CSRP2		7.416883	
F3		7.4157295	
UPF1		7.4061527	
AFF2-IT1		7.3947387	
IFNAR2		7.391351	
SYT17		7.3853693	
CXXC4		7.3825216	
GALNT15		7.371016	
HMOX1		7.368379	
EEF1G		7.3663363	
COL21A1		7.361656	
ERO1B		7.3611455	
ITGB4		7.3555746	
COL4A1		7.353318	
